molecule_chembl_id,canonical_smiles,standard_value
CHEMBL141114,CNCCC(Oc1cccc2ccccc12)c1ccc(C)cc1,2.1
CHEMBL100879,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4cccs4)CC3)[C@@H]1CO2,74.0
CHEMBL263424,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C(C)=C/c4cccc(F)c4)CC3)[C@@H]1CO2,0.6
CHEMBL420830,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C\c4ccccc4)CC3)[C@@H]1CO2,35.0
CHEMBL324967,CNCC[C@H](Oc1cccc2c(O)cccc12)c1cccs1,9.6
CHEMBL141741,CNCCC(Oc1cccc2ccccc12)c1ccccc1C,2.0
CHEMBL332097,CNCC[C@H](Oc1ccc(O)c2ccccc12)c1cccs1,63.9
CHEMBL319530,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4ccco4)CC3)[C@@H]1CO2,22.0
CHEMBL138195,CNCCCCOc1cccc2ccccc12,31.0
CHEMBL415244,CNCCC(Oc1cccc2ccccc12)c1ccc(OC)cc1,3.5
CHEMBL338115,COc1ccc2[nH]c3c(c2c1)CCN=C3C,10000.0
CHEMBL295234,CC1=NCCc2c1[nH]c1ccccc21,10000.0
CHEMBL133455,C[C@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3,10000.0
CHEMBL133868,CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3,10000.0
CHEMBL6310,COc1ccc2c3c([nH]c2c1)CNCC3,10000.0
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,10000.0
CHEMBL344513,CC(C)(C)N[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,740.0
CHEMBL356531,CN([C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21)C(C)(C)C,10000.0
CHEMBL344110,CC(C)N(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,73.0
CHEMBL147983,CCN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,2.0
CHEMBL145940,CC(C)(C)N[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1700.0
CHEMBL343211,CN(Cc1ccccc1)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,180.0
CHEMBL147040,CCN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,16.0
CHEMBL146332,CN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,38.0
CHEMBL356750,CN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.06
CHEMBL145994,Clc1ccc([C@@H]2C[C@@H](NCc3ccccc3)c3ccccc32)cc1Cl,380.0
CHEMBL356981,CC(C)N(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,44.0
CHEMBL1202031,CN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(I)cc21.O=C(O)C(=O)O,17.0
CHEMBL147544,Clc1ccc([C@@H]2C[C@H](NCc3ccccc3)c3ccccc32)cc1Cl,2100.0
CHEMBL146615,CCCN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,500.0
CHEMBL148104,CN([C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21)C(C)(C)C,4700.0
CHEMBL424496,CC(C)N[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,130.0
CHEMBL1788140,CN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.O=C(O)/C=C\C(=O)O,0.33
CHEMBL147950,CN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,2.4
CHEMBL145810,CCCN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,200.0
CHEMBL146042,CCCN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,130.0
CHEMBL1744173,CCN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.O=C(O)/C=C\C(=O)O,13.0
CHEMBL344116,CCCN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,91.0
CHEMBL341898,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,5.0
CHEMBL356552,CCN[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,4.7
CHEMBL359025,CC(C)N[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,93.0
CHEMBL1744190,CN(Cc1ccccc1)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.O=C(O)/C=C\C(=O)O,300.0
CHEMBL612232,COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1/C(=C/c1ccc(OC)cc1)CN23,42.0
CHEMBL304656,COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1/C(=C/c1ccc(Cl)c(Cl)c1)CN23,0.56
CHEMBL294105,COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1/C(=C/c1ccccc1)CN23,2330.0
CHEMBL129053,COc1cccc2sc([C@@H]3CCN(C[C@H](O)COc4cccc5[nH]c(C)cc45)[C@@H](C)C3)cc12,0.86
CHEMBL2112352,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4cccc5occc45)C[C@@H]3C)cccc2[nH]1,7.18
CHEMBL421660,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4cc5ccccc5s4)C[C@@H]3C)cccc2[nH]1,0.53
CHEMBL2112353,COc1cccc2ccc([C@@H]3CCN(C[C@H](O)COc4cccc5[nH]c(C)cc45)[C@@H](C)C3)cc12,0.34
CHEMBL313023,Cc1cc2c(OC[C@H](O)CN3CC[C@@H](c4cccc5sccc45)C[C@@H]3C)cccc2[nH]1,4.35
CHEMBL327227,O[C@@H](COc1cccc2[nH]ccc12)CN1CCC(c2cc3ccccc3s2)CC1,16.75
CHEMBL2112355,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4ccc5c(C)csc5c4)C[C@@H]3C)cccc2[nH]1,0.58
CHEMBL2112354,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4ccc5ccoc5c4)C[C@@H]3C)cccc2[nH]1,3.77
CHEMBL314163,Cc1cc2c(OC[C@H](O)CN3CC[C@@H](c4ccc5sccc5c4)C[C@@H]3C)cccc2[nH]1,0.3
CHEMBL2112350,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4ccc5ccccc5c4)C[C@@H]3C)cccc2[nH]1,0.4
CHEMBL2112358,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4ccc5ccsc5c4)C[C@@H]3C)cccc2[nH]1,0.75
CHEMBL2112357,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4cccc5ccsc45)C[C@@H]3C)cccc2[nH]1,9.24
CHEMBL329583,Cc1cc2c(OC[C@H](O)CN3CC[C@@H](c4ccc5occc5c4)C[C@@H]3C)cccc2[nH]1,1.69
CHEMBL2112356,Cc1cc2c(OC[C@@H](O)CN3CC[C@@H](c4ccc5scc(C)c5c4)C[C@@H]3C)cccc2[nH]1,0.54
CHEMBL303494,COC(=O)C1C(c2cccc(-c3ccco3)c2)CC2CCC1N2C,55.1
CHEMBL66068,COC(=O)C1C2CCC(CC1c1cccc(I)c1)N2,1.23
CHEMBL294733,COC(=O)C1C(c2cccc(-c3ccccc3)c2)CC2CCC1N2C,38.6
CHEMBL303232,COC(=O)C1C(c2cccc(-c3ccsc3)c2)CC2CCC1N2C,74.1
CHEMBL67387,COC(=O)C1C(c2cccc(I)c2)CC2CCC1N2C,9.63
CHEMBL318604,C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3ncccc23)C1,93.6
CHEMBL318738,C1=C(c2c[nH]c3ncccc23)CCN(CCOc2cccc3c2OCCO3)C1,276.0
CHEMBL105390,Fc1ccc2[nH]cc(C3=CCN(CCOc4cccc5c4OCCO5)CC3)c2c1,46.9
CHEMBL104229,C1=C(c2c[nH]c3ncccc23)CCN(CCOc2cccc3[nH]ccc23)C1,175.0
CHEMBL105204,Fc1ccc2c(C3=CCN(CCOc4cccc5c4OCCO5)CC3)c[nH]c2c1,19.8
CHEMBL104144,C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3c2OCCO3)C1,45.0
CHEMBL442391,C1=C(c2c[nH]c3ncccc23)CCN(CCOc2cccc3ncccc23)C1,387.0
CHEMBL322915,Fc1ccc2c(C3CCN(CCOc4cccc5c4OCCO5)CC3)c[nH]c2c1,127.8
CHEMBL421027,C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3[nH]ccc23)C1,41.2
CHEMBL345689,CC(C)OC(=O)C1C2CCC(C[C@@H]1c1ccc(Cl)cc1)CN2C,427.0
CHEMBL814,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,3.08
CHEMBL2112915,C[C@H](CF)OC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,64.0
CHEMBL2112916,C[C@@H](CF)OC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,85.0
CHEMBL348552,COC(=O)C1C2CCC(C[C@@H]1c1ccc(I)cc1)CN2C,0.67
